analysis_scope,student_metric,auto_metric,sample_size,pearson_r,pearson_p_value,spearman_r,spearman_p_value,direction,pearson_p_adjust_bh,spearman_p_adjust_bh,spearman_significance
exercise_level_all_exercises,cognitive_load_mean_score_mean,auto_structure_completeness_ratio,26,0.29120719195909184,0.1489240686257402,0.23101910207107174,0.2561740195063111,positive,0.8684784505725851,0.723681771152299,ns
exercise_level_all_exercises,cognitive_load_mean_score_mean,auto_flesch_kincaid_grade,26,-0.1756905708500765,0.39061804680809076,-0.18091656324777214,0.37644893780328903,negative,0.8719503258320467,0.8470101100574003,ns
exercise_level_all_exercises,cognitive_load_mean_score_mean,auto_flesch_reading_ease,26,0.14105455524615282,0.49188385198482687,0.13337894076867887,0.5159726980314454,positive,0.8750415539257115,0.857308482883017,ns
exercise_level_all_exercises,cognitive_load_mean_score_mean,auto_avg_sentence_length,26,0.049163774756978716,0.8114918292461577,-0.09276058042782488,0.6522059015522914,negative,0.9790851496818805,0.9637518598174758,ns
exercise_level_all_exercises,cognitive_load_mean_score_mean,auto_instruction_completeness_ratio,26,0.16115396805155074,0.4315893164503334,0.06374284233720598,0.7570510763303115,positive,0.8719503258320467,0.9637518598174758,ns
exercise_level_all_exercises,cognitive_load_mean_score_mean,auto_technical_term_density_instruction,26,0.08085335712820935,0.6945848704833733,0.05954332750554483,0.7726296693688961,positive,0.9742229352234327,0.9637518598174758,ns
exercise_level_all_exercises,cognitive_load_mean_score_mean,auto_structure_score_weighted,26,0.2605919836453493,0.19852498366147853,0.03670700040931496,0.8587040433954598,positive,0.8684784505725851,0.9762109124916806,ns
exercise_level_all_exercises,course_relevance_mean,auto_starter_code_mi,24,0.5696715230855383,0.0036625321038609064,0.5529005088118655,0.005076687815868123,positive,0.3955534672169779,0.27655987190893133,ns
exercise_level_all_exercises,course_relevance_mean,auto_starter_code_mccabe_max,16,-0.5898962655803592,0.016162057311245513,-0.5762231311972073,0.019479517064216207,negative,0.5818340632048384,0.35063130715589175,ns
exercise_level_all_exercises,course_relevance_mean,auto_structure_completeness_ratio,26,-0.23430356158784796,0.24928548118287164,-0.3114540324307271,0.12142536584194538,negative,0.8684784505725851,0.6547193217417175,ns
exercise_level_all_exercises,course_relevance_mean,auto_structure_score_weighted,26,-0.25580560646972483,0.20719338453906772,-0.29847110535599575,0.13859030060118874,negative,0.8684784505725851,0.6547193217417175,ns
exercise_level_all_exercises,course_relevance_mean,auto_flesch_kincaid_grade,26,-0.01784604489308514,0.9310462160864146,0.26281102460134,0.1945916205128553,positive,0.9948871788542369,0.723681771152299,ns
exercise_level_all_exercises,course_relevance_mean,auto_flesch_reading_ease,26,0.013804466733590343,0.9466371109329881,-0.2330718823438199,0.25185435103164905,negative,0.9948871788542369,0.723681771152299,ns
exercise_level_all_exercises,course_relevance_mean,auto_technical_term_density_instruction,26,0.17501412614410047,0.39247395669992363,0.23873629165020824,0.24018251366669466,positive,0.8719503258320467,0.723681771152299,ns
exercise_level_all_exercises,course_relevance_mean,auto_instruction_completeness_ratio,26,0.18321012728668515,0.3703254633117906,0.21869092079533312,0.28312472491137347,positive,0.8719503258320467,0.74579195830313,ns
exercise_level_all_exercises,course_relevance_mean,auto_avg_sentence_length,26,-0.08272697016919886,0.6878529894757278,-0.024053944311978895,0.9071485579427767,negative,0.9742229352234327,0.9823095627280461,ns
exercise_level_all_exercises,engagement_score_mean,auto_starter_code_mccabe_max,16,-0.4512655483517985,0.07934500876028322,-0.6042184734095568,0.013176937115840982,negative,0.8684784505725851,0.28462184170216526,ns
exercise_level_all_exercises,engagement_score_mean,auto_avg_sentence_length,26,0.10325999000060643,0.6156851101379387,0.2996102876709637,0.13701781005780553,positive,0.9365350971112306,0.6547193217417175,ns
exercise_level_all_exercises,engagement_score_mean,auto_structure_completeness_ratio,26,-0.19737115474406644,0.333816355846121,-0.24239264457807153,0.2328410061718819,negative,0.8719503258320467,0.723681771152299,ns
exercise_level_all_exercises,engagement_score_mean,auto_structure_score_weighted,26,-0.19364747863494822,0.343198619474115,-0.1411544002633302,0.49157427211644456,negative,0.8719503258320467,0.857308482883017,ns
exercise_level_all_exercises,engagement_score_mean,auto_flesch_kincaid_grade,26,-0.04685785948763248,0.8201882386640582,0.09921056510980834,0.6296712757941461,positive,0.9790851496818805,0.9637518598174758,ns
exercise_level_all_exercises,engagement_score_mean,auto_flesch_reading_ease,26,0.1300342991419412,0.5266453796775116,0.0561504240031207,0.7852792931846099,positive,0.8750415539257115,0.9637518598174758,ns
exercise_level_all_exercises,engagement_score_mean,auto_starter_code_mi,24,0.12513656440666548,0.5601539142433631,0.04539585927959135,0.8331764963879768,positive,0.887090959956142,0.9762109124916806,ns
exercise_level_all_exercises,engagement_score_mean,auto_instruction_completeness_ratio,26,-0.0365082337643797,0.8594616787340678,0.009278293558019875,0.9641198603218744,positive,0.9790851496818805,0.9823095627280461,ns
exercise_level_all_exercises,engagement_score_mean,auto_technical_term_density_instruction,26,-0.13020933353152497,0.5260842449597916,-0.00901370051650664,0.9651424510467412,negative,0.8750415539257115,0.9823095627280461,ns
exercise_level_all_exercises,info_load_mean,auto_starter_code_mccabe_max,16,0.07650939518286903,0.778231112136665,0.3579288301154386,0.17345396336464367,positive,0.9790851496818805,0.7114274610768317,ns
exercise_level_all_exercises,info_load_mean,auto_starter_code_mi,24,-0.22730661616776957,0.28543680847942815,-0.2844974236734547,0.17785686526920794,negative,0.8719503258320467,0.7114274610768317,ns
exercise_level_all_exercises,info_load_mean,auto_flesch_kincaid_grade,26,-0.17788388938964733,0.3846348319493531,-0.2001782799898059,0.32684690245824544,negative,0.8719503258320467,0.8196195885309661,ns
exercise_level_all_exercises,info_load_mean,auto_flesch_reading_ease,26,0.15415268828962303,0.45212239117217234,0.145051731283491,0.4795671050334722,positive,0.8719503258320467,0.857308482883017,ns
exercise_level_all_exercises,info_load_mean,auto_structure_completeness_ratio,26,0.1674818600278743,0.41347532133343945,0.16485561162782778,0.420941406272869,positive,0.8719503258320467,0.857308482883017,ns
exercise_level_all_exercises,info_load_mean,auto_instruction_completeness_ratio,26,-0.002499729121595237,0.9903304539248625,-0.06013377943029549,0.770433978633374,negative,0.999810634446727,0.9637518598174758,ns
exercise_level_all_exercises,info_load_mean,auto_structure_score_weighted,26,0.1570935742643843,0.4434352358193261,0.093413053878207,0.6499123427576006,positive,0.8719503258320467,0.9637518598174758,ns
exercise_level_all_exercises,info_load_mean,auto_avg_sentence_length,26,0.07782485641976084,0.7055138913657828,-0.04051820496282427,0.8442012430183592,negative,0.9768653880449301,0.9762109124916806,ns
exercise_level_all_exercises,info_load_mean,auto_technical_term_density_instruction,26,0.025459400506560603,0.9017483461705436,-0.03363387423644,0.8704310426608945,negative,0.9937634835348848,0.9792349229935065,ns
exercise_level_all_exercises,item_mean_score_mean,auto_starter_code_mccabe_max,16,-0.45838339669545586,0.07414854246776592,-0.6322230884871223,0.008595388768736806,negative,0.8684784505725851,0.28462184170216526,ns
exercise_level_all_exercises,item_mean_score_mean,auto_starter_code_mi,24,0.3614390114639443,0.0826737528282091,0.368771638001292,0.07618448565709711,positive,0.8684784505725851,0.6547193217417175,ns
exercise_level_all_exercises,item_mean_score_mean,auto_structure_completeness_ratio,26,-0.2857756823896602,0.1570026002872231,-0.3178144004772045,0.11360859120968872,negative,0.8684784505725851,0.6547193217417175,ns
exercise_level_all_exercises,item_mean_score_mean,auto_avg_sentence_length,26,0.05871313570922637,0.775719751838742,0.2422945205479452,0.23303605922987744,positive,0.9790851496818805,0.723681771152299,ns
exercise_level_all_exercises,item_mean_score_mean,auto_flesch_kincaid_grade,26,0.05046713327147756,0.8065859539564586,0.18340468643723914,0.369808698489304,positive,0.9790851496818805,0.8470101100574003,ns
exercise_level_all_exercises,item_mean_score_mean,auto_structure_score_weighted,26,-0.2712786143933928,0.18007509360877733,-0.15092029766960716,0.46177350195904865,negative,0.8684784505725851,0.857308482883017,ns
exercise_level_all_exercises,item_mean_score_mean,auto_technical_term_density_instruction,26,-0.07103262105446491,0.7302300889633426,0.0704211790590123,0.7324684033668327,positive,0.9790851496818805,0.9637518598174758,ns
exercise_level_all_exercises,item_mean_score_mean,auto_flesch_reading_ease,26,0.03404790988320974,0.8688494789311805,-0.04242944238473443,0.836946667234793,negative,0.9790851496818805,0.9762109124916806,ns
exercise_level_all_exercises,item_mean_score_mean,auto_instruction_completeness_ratio,26,-0.09140751746797013,0.6569719592356119,-0.013639863618784104,0.9472725318364967,negative,0.971958515033508,0.9823095627280461,ns
exercise_level_all_exercises,key_support_mean,auto_starter_code_mccabe_max,16,-0.2867939202626722,0.28150330069458995,-0.39661848164077157,0.12826788349794993,negative,0.8719503258320467,0.6547193217417175,ns
exercise_level_all_exercises,key_support_mean,auto_avg_sentence_length,26,0.21956012225229643,0.2811678200723412,0.19557873586293945,0.3383130741828341,positive,0.8719503258320467,0.8196195885309661,ns
exercise_level_all_exercises,key_support_mean,auto_flesch_kincaid_grade,26,-0.03727252372174453,0.8565491163163185,0.1744683747361176,0.3939749329809705,positive,0.9790851496818805,0.8509858552388964,ns
exercise_level_all_exercises,key_support_mean,auto_starter_code_mi,24,0.2478107321681258,0.24299503114345003,0.15620456213655504,0.4660725551574767,positive,0.8684784505725851,0.857308482883017,ns
exercise_level_all_exercises,key_support_mean,auto_structure_completeness_ratio,26,-0.14098821170927234,0.49208961115707117,-0.14614751345386853,0.47621834314444933,negative,0.8750415539257115,0.857308482883017,ns
exercise_level_all_exercises,key_support_mean,auto_technical_term_density_instruction,26,-0.1569560754162996,0.4438393966581853,-0.1334287119791197,0.515814676179318,negative,0.8719503258320467,0.857308482883017,ns
exercise_level_all_exercises,key_support_mean,auto_structure_score_weighted,26,-0.13579545650716307,0.5083275771161242,-0.06095674153654155,0.7673765351565865,negative,0.8750415539257115,0.9637518598174758,ns
exercise_level_all_exercises,key_support_mean,auto_instruction_completeness_ratio,26,4.895284052486987e-05,0.999810634446727,0.03804074516257746,0.8536234132648768,positive,0.999810634446727,0.9762109124916806,ns
exercise_level_all_exercises,key_support_mean,auto_flesch_reading_ease,26,0.1600783945321664,0.4347103922828733,-0.01626986827896335,0.9371238806872457,negative,0.8719503258320467,0.9823095627280461,ns
exercise_level_all_exercises,learning_help_mean,auto_starter_code_mccabe_max,16,-0.6184320043302662,0.01065970982256179,-0.6629894683392834,0.005121479109424654,negative,0.5756243304183366,0.27655987190893133,ns
exercise_level_all_exercises,learning_help_mean,auto_starter_code_mi,24,0.3477953488780027,0.09584452142980349,0.33038760021361346,0.11483965373859882,positive,0.8684784505725851,0.6547193217417175,ns
exercise_level_all_exercises,learning_help_mean,auto_flesch_kincaid_grade,26,-0.21065074157518082,0.301634517194334,-0.2229309711345397,0.27366021516648564,negative,0.8719503258320467,0.7388825809495113,ns
exercise_level_all_exercises,learning_help_mean,auto_flesch_reading_ease,26,0.24032131734788933,0.23698146010043292,0.19431384171790306,0.34150816188790256,positive,0.8684784505725851,0.8196195885309661,ns
exercise_level_all_exercises,learning_help_mean,auto_instruction_completeness_ratio,26,-0.26373826870819395,0.19296399419261062,-0.19640539590076175,0.3362346942613029,negative,0.8684784505725851,0.8196195885309661,ns
exercise_level_all_exercises,learning_help_mean,auto_avg_sentence_length,26,-0.020210808001752775,0.9219349557154035,0.058697640791211786,0.7757774577132859,positive,0.9948871788542369,0.9637518598174758,ns
exercise_level_all_exercises,learning_help_mean,auto_structure_completeness_ratio,26,-0.09587418728588347,0.6412890777741981,-0.07955088734729028,0.6992779928197269,negative,0.9619336166612972,0.9637518598174758,ns
exercise_level_all_exercises,learning_help_mean,auto_structure_score_weighted,26,-0.06193566004655281,0.7637440987241947,0.10269975395735918,0.6176124644666807,positive,0.9790851496818805,0.9637518598174758,ns
exercise_level_all_exercises,learning_help_mean,auto_technical_term_density_instruction,26,-0.08410001713848866,0.682934264627066,-0.07306631681515469,0.7228008599509858,negative,0.9742229352234327,0.9637518598174758,ns
exercise_level_all_exercises,mental_effort_mean,auto_starter_code_mi,24,-0.30320961287003806,0.14978709647750738,-0.3128360477145176,0.13664129207191442,negative,0.8684784505725851,0.6547193217417175,ns
exercise_level_all_exercises,mental_effort_mean,auto_structure_completeness_ratio,26,0.3118318104116559,0.12095037719462437,0.3116175682952018,0.12121958130433146,positive,0.8684784505725851,0.6547193217417175,ns
exercise_level_all_exercises,mental_effort_mean,auto_flesch_kincaid_grade,26,-0.2742645154616585,0.17514068276087152,-0.2781723836525363,0.16882638460670418,negative,0.8684784505725851,0.7114274610768317,ns
exercise_level_all_exercises,mental_effort_mean,auto_flesch_reading_ease,26,0.2839842901027547,0.15973391233988293,0.27402055703085665,0.17554026107544649,positive,0.8684784505725851,0.7114274610768317,ns
exercise_level_all_exercises,mental_effort_mean,auto_starter_code_mccabe_max,16,0.2255990760787278,0.40084876532316427,0.2985670746459924,0.2613295284716635,positive,0.8719503258320467,0.723681771152299,ns
exercise_level_all_exercises,mental_effort_mean,auto_instruction_completeness_ratio,26,0.15487003735764174,0.4499951370408881,0.07865078893986102,0.7025275784120393,positive,0.8719503258320467,0.9637518598174758,ns
exercise_level_all_exercises,mental_effort_mean,auto_structure_score_weighted,26,0.2844673151796666,0.1589941630205241,0.057249893767358784,0.781174202070659,positive,0.8684784505725851,0.9637518598174758,ns
exercise_level_all_exercises,mental_effort_mean,auto_avg_sentence_length,26,0.05915167832457957,0.7740870215415971,-0.006925632912300971,0.9732141038138975,negative,0.9790851496818805,0.9823095627280461,ns
exercise_level_all_exercises,mental_effort_mean,auto_technical_term_density_instruction,26,0.0006633886648878739,0.9974338003962984,0.0,1.0,zero,0.999810634446727,1.0,ns
exercise_level_all_exercises,search_effort_mean,auto_starter_code_mccabe_max,16,0.34448399303052785,0.19135172089766028,0.5349605841034201,0.032745064159441194,positive,0.8684784505725851,0.44205836615245614,ns
exercise_level_all_exercises,search_effort_mean,auto_technical_term_density_instruction,26,0.17853310853018686,0.38287392621888616,0.2678829779455814,0.18580311835810873,positive,0.8719503258320467,0.7166691708098479,ns
exercise_level_all_exercises,search_effort_mean,auto_instruction_completeness_ratio,26,0.2809815124378001,0.16438732270534206,0.2442153070464297,0.2292375750768393,positive,0.8684784505725851,0.723681771152299,ns
exercise_level_all_exercises,search_effort_mean,auto_starter_code_mi,24,-0.2495105857224264,0.23967275879040512,-0.19275152797381775,0.36685517638478504,negative,0.8684784505725851,0.8470101100574003,ns
exercise_level_all_exercises,search_effort_mean,auto_structure_completeness_ratio,26,0.2935677638970343,0.1455073186529877,0.15537417023504993,0.4485033448667137,positive,0.8684784505725851,0.857308482883017,ns
exercise_level_all_exercises,search_effort_mean,auto_structure_score_weighted,26,0.250192657485566,0.21768179686975875,-0.13578209869256594,0.5083696837692429,negative,0.8684784505725851,0.857308482883017,ns
exercise_level_all_exercises,search_effort_mean,auto_avg_sentence_length,26,-0.009797690415874149,0.9621126740516794,-0.11429950517845043,0.578224969850603,negative,0.9948871788542369,0.9461863143009867,ns
exercise_level_all_exercises,search_effort_mean,auto_flesch_reading_ease,26,-0.05180187579261684,0.8015693210347956,-0.07417939841238066,0.7187449806160924,negative,0.9790851496818805,0.9637518598174758,ns
exercise_level_all_exercises,search_effort_mean,auto_flesch_kincaid_grade,26,-0.019406323378296293,0.9250335571821251,0.01863110471752817,0.9280204440509878,positive,0.9948871788542369,0.9823095627280461,ns
exercise_level_all_exercises,task_goal_clarity_mean,auto_avg_sentence_length,26,0.24966781790403791,0.21868044263370884,0.3497657746150203,0.07984992933911554,positive,0.8684784505725851,0.6547193217417175,ns
exercise_level_all_exercises,task_goal_clarity_mean,auto_flesch_kincaid_grade,26,0.12173041772340916,0.5535903190417404,0.33249557341832386,0.09699006087718373,positive,0.887090959956142,0.6547193217417175,ns
exercise_level_all_exercises,task_goal_clarity_mean,auto_structure_score_weighted,26,-0.18135210725797588,0.37528162668144993,-0.23040219224311506,0.25748153628760734,negative,0.8719503258320467,0.723681771152299,ns
exercise_level_all_exercises,task_goal_clarity_mean,auto_flesch_reading_ease,26,0.030901905697630704,0.8808787051974888,-0.1485839593713135,0.46881564990819524,negative,0.980772166611637,0.857308482883017,ns
exercise_level_all_exercises,task_goal_clarity_mean,auto_structure_completeness_ratio,26,-0.15055052098256128,0.46288437906989266,-0.1364761187686404,0.5061842542675694,negative,0.8750415539257115,0.857308482883017,ns
exercise_level_all_exercises,task_goal_clarity_mean,auto_instruction_completeness_ratio,26,0.08439908845549379,0.6818645495363775,0.05634485257398866,0.784552944785961,positive,0.9742229352234327,0.9637518598174758,ns
exercise_level_all_exercises,task_goal_clarity_mean,auto_starter_code_mi,24,0.03519818353026451,0.8702979108283382,-0.07098158257684771,0.7417098752331632,negative,0.9790851496818805,0.9637518598174758,ns
exercise_level_all_exercises,task_goal_clarity_mean,auto_technical_term_density_instruction,26,0.06317934390282534,0.7591362268648565,0.09184586212806292,0.6554264828902443,positive,0.9790851496818805,0.9637518598174758,ns
exercise_level_all_exercises,task_goal_clarity_mean,auto_starter_code_mccabe_max,16,0.05238726358510071,0.8472080100256536,-0.015748519708717802,0.9538385208223216,negative,0.9790851496818805,0.9823095627280461,ns
exercise_level_all_exercises,usability_mean_score_mean,auto_starter_code_mccabe_max,16,-0.48599556481338696,0.05630815268489758,-0.5405179193244907,0.030642403343205626,negative,0.8684784505725851,0.44205836615245614,ns
exercise_level_all_exercises,usability_mean_score_mean,auto_starter_code_mi,24,0.37398401463157543,0.07181184939285451,0.3408407521774203,0.10313021129156125,positive,0.8684784505725851,0.6547193217417175,ns
exercise_level_all_exercises,usability_mean_score_mean,auto_structure_completeness_ratio,26,-0.19329801653280337,0.3440871456922706,-0.25078600817024344,0.21655649124025506,negative,0.8719503258320467,0.723681771152299,ns
exercise_level_all_exercises,usability_mean_score_mean,auto_structure_score_weighted,26,-0.19588915763722747,0.3375317117516474,-0.1751004122797128,0.3922369420044154,negative,0.8719503258320467,0.8509858552388964,ns
exercise_level_all_exercises,usability_mean_score_mean,auto_avg_sentence_length,26,0.11774203259176444,0.5667525577497573,0.16978240083130772,0.40699593650590105,positive,0.887090959956142,0.857308482883017,ns
exercise_level_all_exercises,usability_mean_score_mean,auto_flesch_kincaid_grade,26,-0.05102247128380474,0.8044977979169214,0.13879409367352213,0.4989187615494288,positive,0.9790851496818805,0.857308482883017,ns
exercise_level_all_exercises,usability_mean_score_mean,auto_instruction_completeness_ratio,26,-0.008468051940433676,0.9672514238860637,0.06313566181412424,0.7592979352682706,positive,0.9948871788542369,0.9637518598174758,ns
exercise_level_all_exercises,usability_mean_score_mean,auto_technical_term_density_instruction,26,-0.009917602822352191,0.9616493093374738,0.04724989741995218,0.8187082367998479,positive,0.9948871788542369,0.9762109124916806,ns
exercise_level_all_exercises,usability_mean_score_mean,auto_flesch_reading_ease,26,0.1468446542045843,0.4740941085468331,-0.02296099821265675,0.9113507966985481,negative,0.8750415539257115,0.9823095627280461,ns
