topic,source_type,metric,sample_size,mean,std,median,min,max
RNN,Expert,instruction_metrics.technical_term_density_instruction,5,0.039380000000000005,0.017570771183986207,0.0435,0.0125,0.0545
RNN,Expert,instruction_metrics.var_sentence_length,5,53.010000000000005,33.91741462457008,42.25,22.8,96.8889
RNN,Expert,structure_metrics.structure_completeness_ratio,5,0.9,0.05590169943749474,0.875,0.875,1.0
RNN,Expert,structure_metrics.structure_score_weighted,5,0.9022400000000002,0.05464950137009485,0.8778,0.8778,1.0
Transformer,AI,code_quality_metrics.starter_code_avg_function_loc,2,22.25,3.8890872965260113,22.25,19.5,25.0
Transformer,AI,code_quality_metrics.starter_code_comment_line_ratio,2,0.26215,0.08789337290148784,0.26215,0.2,0.3243
Transformer,AI,code_quality_metrics.starter_code_docstring_count,2,1.0,0.0,1.0,1.0,1.0
Transformer,AI,code_quality_metrics.starter_code_function_count,2,1.5,0.7071067811865476,1.5,1.0,2.0
Transformer,AI,code_quality_metrics.starter_code_loc_total,2,31.0,8.48528137423857,31.0,25.0,37.0
Transformer,AI,code_quality_metrics.starter_code_max_function_loc,2,26.0,1.4142135623730951,26.0,25.0,27.0
Transformer,AI,code_quality_metrics.starter_code_mccabe_max,2,2.0,1.4142135623730951,2.0,1.0,3.0
Transformer,AI,code_quality_metrics.starter_code_mi,2,94.38714999999999,7.937768593565829,94.38714999999999,88.7743,100.0
Transformer,AI,instruction_metrics.avg_sentence_length,2,23.91665,7.660299892628226,23.91665,18.5,29.3333
Transformer,AI,instruction_metrics.flesch_kincaid_grade,2,11.4213,1.801000971682137,11.4213,10.1478,12.6948
Transformer,AI,instruction_metrics.flesch_reading_ease,2,45.549099999999996,3.90718923012439,45.549099999999996,42.7863,48.3119
Transformer,AI,instruction_metrics.instruction_completeness_ratio,2,1.0,0.0,1.0,1.0,1.0
Transformer,AI,instruction_metrics.max_sentence_length,2,43.5,6.363961030678928,43.5,39.0,48.0
Transformer,AI,instruction_metrics.technical_term_density_instruction,2,0.0498,0.006081118318204311,0.0498,0.0455,0.0541
Transformer,AI,instruction_metrics.var_sentence_length,2,172.7361,36.042788271996926,172.7361,147.25,198.2222
Transformer,AI,structure_metrics.structure_completeness_ratio,2,0.875,0.0,0.875,0.875,0.875
Transformer,AI,structure_metrics.structure_score_weighted,2,0.8667,0.0,0.8667,0.8667,0.8667
Transformer,Expert,code_quality_metrics.starter_code_avg_function_loc,2,7.375,0.8838834764831844,7.375,6.75,8.0
Transformer,Expert,code_quality_metrics.starter_code_comment_line_ratio,2,0.04725,0.016334166645409244,0.04725,0.0357,0.0588
Transformer,Expert,code_quality_metrics.starter_code_docstring_count,2,0.0,0.0,0.0,0.0,0.0
Transformer,Expert,code_quality_metrics.starter_code_function_count,2,3.0,1.4142135623730951,3.0,2.0,4.0
Transformer,Expert,code_quality_metrics.starter_code_loc_total,2,22.5,7.7781745930520225,22.5,17.0,28.0
Transformer,Expert,code_quality_metrics.starter_code_max_function_loc,2,11.0,2.8284271247461903,11.0,9.0,13.0
Transformer,Expert,code_quality_metrics.starter_code_mccabe_max,2,3.5,0.7071067811865476,3.5,3.0,4.0
Transformer,Expert,code_quality_metrics.starter_code_mi,2,70.38114999999999,10.255098936870377,70.38114999999999,63.1297,77.6326
Transformer,Expert,instruction_metrics.avg_sentence_length,2,22.45835,11.608359894705194,22.45835,14.25,30.6667
Transformer,Expert,instruction_metrics.flesch_kincaid_grade,2,15.6903,8.435925320911752,15.6903,9.7252,21.6554
Transformer,Expert,instruction_metrics.flesch_reading_ease,2,21.82955,39.59550487271251,21.82955,-6.1687,49.8278
Transformer,Expert,instruction_metrics.instruction_completeness_ratio,2,0.8333,0.0,0.8333,0.8333,0.8333
Transformer,Expert,instruction_metrics.max_sentence_length,2,32.5,20.506096654409877,32.5,18.0,47.0
Transformer,Expert,instruction_metrics.technical_term_density_instruction,2,0.01085,0.015344217151748081,0.01085,0.0,0.0217
Transformer,Expert,instruction_metrics.var_sentence_length,2,70.87155,88.6486336544732,70.87155,8.1875,133.5556
Transformer,Expert,structure_metrics.structure_completeness_ratio,2,0.9375,0.08838834764831845,0.9375,0.875,1.0
Transformer,Expert,structure_metrics.structure_score_weighted,2,0.9389000000000001,0.08640844866099609,0.9389000000000001,0.8778,1.0
